Country Name,Country Code,Time,Time Code,Labor force with primary education (% of total) [SL.TLF.PRIM.ZS],Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS],Labor force with secondary education (% of total) [SL.TLF.SECO.ZS],Scientific and technical journal articles [IP.JRN.ARTC.SC],"Trademark applications, total [IP.TMK.TOTL]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD],"Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN],Gross national expenditure (constant LCU) [NE.DAB.TOTL.KN],Discrepancy in expenditure estimate of GDP (constant LCU) [NY.GDP.DISC.KN],"Wage and salaried workers, total (% of total employed) [SL.EMP.WORK.ZS]",Lending interest rate (%) [FR.INR.LEND],"Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]",Gross capital formation (annual % growth) [NE.GDI.TOTL.KD.ZG],GDP (constant LCU) [NY.GDP.MKTP.KN],Exogenous spending,Compensation of employees (current LCU) [GC.XPN.COMP.CN],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Capital-labour ratio,Gross capital formation (current LCU) [NE.GDI.TOTL.CN]
Afghanistan,AFG,1960,YR1960,..,..,..,..,..,..,109810000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3900002048.000000000
Afghanistan,AFG,1961,YR1961,..,..,..,..,..,..,225750000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4100002048.000000000
Afghanistan,AFG,1962,YR1962,..,..,..,..,..,..,112440000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4700002816.000000000
Afghanistan,AFG,1963,YR1963,..,..,..,..,..,..,227470000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4800002560.000000000
Afghanistan,AFG,1964,YR1964,..,..,..,..,..,..,294510000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5000002048.000000000
Afghanistan,AFG,1965,YR1965,..,..,..,..,..,..,370260000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5100000256.000000000
Afghanistan,AFG,1966,YR1966,..,..,..,..,..,..,340110000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5299999744.000000000
Afghanistan,AFG,1967,YR1967,..,..,..,..,..,..,258520000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3900000000.000000000
Afghanistan,AFG,1968,YR1968,..,..,..,..,..,..,183300000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4000000000.000000000
Afghanistan,AFG,1969,YR1969,..,..,..,..,..,..,166380000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4100000000.000000000
Afghanistan,AFG,1970,YR1970,..,..,..,..,..,..,162190000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4300000256.000000000
Afghanistan,AFG,1971,YR1971,..,..,..,..,..,..,236540000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4499999744.000000000
Afghanistan,AFG,1972,YR1972,..,..,..,..,..,..,274540000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4700000256.000000000
Afghanistan,AFG,1973,YR1973,..,..,..,..,..,..,244170000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5699999744.000000000
Afghanistan,AFG,1974,YR1974,..,..,..,..,..,..,205080000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8499999744.000000000
Afghanistan,AFG,1975,YR1975,..,..,..,..,..,..,255790000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10400000000.000000000
Afghanistan,AFG,1976,YR1976,..,..,..,..,..,..,254550000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15699999744.000000000
