"Country","Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN]","Wage and salaried workers, total (% of total employed) [SL.EMP.WORK.ZS]","Lending interest rate (%) [FR.INR.LEND]","Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]","Gross capital formation (current LCU) [NE.GDI.TOTL.CN]","GDP (constant LCU) [NY.GDP.MKTP.KN]","Exogenous spending","Compensation of employees (current LCU) [GC.XPN.COMP.CN]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Capital-labour ratio","Previous Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN]","Previous Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Previous Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]","Previous Compensation of employees (current LCU) [GC.XPN.COMP.CN]","Previous Gross capital formation (current LCU) [NE.GDI.TOTL.CN]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
NZL,0.8055357142857142,0.541547619047619,0.21929824561403505,0.8736842105263158,0.9473684210526315,0.6745238095238095,0.6766666666666666,0.4479166666666667,0.6096491228070176,0.7875,0.13596491228070173,0.6047023809523809,0.39210526315789473,0.9736842105263158,0.631578947368421,0.5045238095238095,0.96700625595,9.7,0.0750695632,0.03547117105
FJI,,0.8571428571428571,0.3075,0.7745098039215685,0.6383333333333334,0.7462500000000001,0.41875,,0.671875,0.48851190476190476,0.5,,0.872549019607843,0.6658333333333333,0.6333333333333333,0.7300595238095238,0.46940106755000005,5.55,0.0259011286,0.013682216550000001
PNG,0.6316666666666666,,0.5788095238095238,0.8058333333333334,0.4215686274509804,0.8613095238095237,0.6696428571428571,0.6105952380952381,0.5833333333333333,0.4413095238095238,0.17647058823529413,0.5603571428571429,0.7391666666666666,0.5392156862745098,0.6029411764705882,0.7246428571428571,0.62847824075,12.65,0.053195685150000005,0.01524968055
ZAR,0.9125,,0.07142857142857142,0.047619047619047616,0.9404761904761905,0.9116071428571428,0.27053571428571427,0.8375,0.9416666666666667,0.6511904761904762,0.9791666666666666,0.6575,0.0625,0.9375,0.9025000000000001,0.9053571428571429,0.55499284135,8.8,0.03647628805,0.01175878655
STP,,,0.5733333333333334,0.75,0.8875,,0.2708333333333333,,0.5526315789473685,0.6525000000000001,,,0.7692307692307693,0.9833333333333334,0.5833333333333334,,0.33064880355000004,0.2,0.023958035250000002,0.01211053475
WLD,,,,,,,,,,0.39851190476190473,,,,,,,0.13014271115,0.0,0.0236990757,0.0137292951
MHL,,,,0.11805555555555554,0.47222222222222215,,0.4625,,,,,,0.0606060606060606,0.5606060606060607,,,0.19221257985,2.05,0.02299865725,0.0125387429
CUB,0.520952380952381,0.425,,,,0.38619047619047614,0.38190476190476186,0.17595238095238094,,,,0.4530952380952381,,,,0.34178571428571425,0.30710341625000004,2.15,0.021915940749999998,0.014235415800000002
SDN,0.7651785714285715,,,0.4254385964912281,0.5166666666666667,0.7756547619047619,0.7830357142857143,0.9366071428571429,,0.5571428571428572,,0.5892857142857143,0.2824561403508772,0.8324561403508772,,0.7791071428571429,0.4165314257,7.1,0.0241897509,0.0105426719
GMB,0.5392857142857143,,0.6158333333333333,,0.7807017543859649,0.7604166666666667,0.6625,0.0196078431372549,,0.5610119047619048,,0.5348214285714286,,0.6192982456140351,,0.7586309523809524,0.3781856824,1.1,0.02169402825,0.00920977325
CEB,,0.21140350877192982,,,,,,,,0.47631578947368425,,,,,,,0.13460606355,0.0,0.0207774825,0.009037105200000001
CUW,,,,,,,,,,,,,,,,,0.09964226735000001,0.0,0.0260379753,0.015440159650000002
MYS,0.80625,0.8315789473684211,0.45583333333333337,0.8054761904761906,0.6777777777777777,0.76875,0.64375,0.8223214285714286,0.7043859649122807,0.5625,0.22543859649122808,0.8276785714285714,0.8121428571428572,0.6979166666666666,0.5903508771929825,0.7848214285714286,0.9093664828,14.05,0.1769007741,0.020490595150000002
MIC,,,,,,,,,,0.47541666666666665,,,,,,,0.11195963904999999,0.0,0.02252223115,0.01006541955
POL,0.7025,0.6320238095238095,0.99,0.5925,0.6333333333333333,0.53,0.355,0.2308333333333333,0.8991666666666667,0.46922619047619046,0.5891666666666666,0.18,0.7558333333333334,0.6683333333333333,0.8433333333333334,0.37666666666666665,10.578279639849999,8.35,0.044694822950000004,0.0111177575
ARB,,,,,,,,,,0.54875,,,,,,,0.10576855119999999,0.0,0.02226897125,0.00942974785
OMN,0.6491228070175439,0.5833333333333334,0.6933333333333334,0.8333333333333334,0.8611111111111112,0.7848809523809523,0.575,0.5,0.5807017543859649,0.4666666666666667,0.5807017543859649,0.38333333333333336,0.8859649122807017,0.9736842105263158,0.6035087719298246,0.7797023809523809,0.60912841215,8.8,0.03545310345,0.0123286855
SUR,,0.9166666666666666,0.5616666666666666,0.6578947368421053,0.4912280701754386,0.8428571428571429,0.7351190476190477,,0.5175438596491229,0.5875,0.06666666666666667,,0.39814814814814814,0.6666666666666666,0.5092592592592592,0.8602380952380952,0.44307081925,5.65,0.0243650692,0.009948407599999999
ARE,0.412037037037037,0.6666666666666666,,,,0.15740740740740738,0.8760714285714286,,0.14102564102564102,0.782051282051282,0.03333333333333333,0.17647058823529413,,,0.125,0.20588235294117646,0.3245625875,2.8,0.02288395365,0.009452517550000001
KEN,0.8508928571428571,,0.6145238095238095,0.9875,0.18,0.8578571428571429,0.8116071428571429,0.8436904761904762,0.8466666666666667,0.6875,0.7941666666666667,0.6375,0.9441666666666666,0.18083333333333335,0.8633333333333333,0.862202380952381,0.69154365115,10.7,0.0765163104,0.0139520907
ARG,0.6669642857142857,0.34259259259259256,0.7962962962962963,0.725,0.8196078431372549,0.9401785714285715,0.8830357142857143,0.47000000000000003,,0.6125,,0.7705357142857143,0.766904761904762,0.875,,0.9428571428571428,0.50191174575,8.55,0.034040981,0.02076705215
GNB,0.5,,0.10555555555555556,0.5729166666666666,0.8854166666666666,0.6554761904761904,0.41208333333333336,,,0.43916666666666665,,0.75,0.5104166666666666,0.8125,,0.6507738095238096,0.3911166687,2.95,0.0242789489,0.01840153605
HPC,,,,,,,,,,0.5303571428571429,,,,,,,0.12978771435,0.0,0.0226042193,0.0096863134
ARM,0.6666666666666666,0.47105263157894733,0.9368421052631579,0.9254385964912281,0.42105263157894735,0.6736842105263158,0.2964912280701754,0.6649122807017543,0.7254901960784315,0.23684210526315788,0.5882352941176471,0.5925925925925926,0.9210526315789473,0.34210526315789475,0.21794871794871792,0.606140350877193,0.6941003020000001,13.75,0.0863117134,0.017145382100000002
UZB,,,,,,0.8425,0.7333333333333333,,,,,,,,,0.8732142857142857,0.16737342125,0.0,0.0205563395,0.01036966215
BTN,0.2962962962962963,0.0,0.5158333333333334,,0.53125,0.8386904761904763,0.8145238095238095,0.3703703703703704,0.7280701754385965,0.3572619047619048,0.5745614035087719,0.3888888888888889,,0.7401960784313726,0.7368421052631579,0.8665476190476191,0.4757628573,7.5,0.02814393315,0.00927765505
SEN,0.6160714285714286,0.0,0.14912280701754385,1.0,0.7692307692307693,0.7910714285714285,0.6098214285714285,0.7410714285714286,0.8480392156862745,0.669702380952381,1.0,0.6035714285714285,0.4861111111111111,0.4861111111111111,1.0,0.7982142857142857,0.5130225783,7.35,0.027375347900000003,0.009738720900000001
TGO,0.6714285714285715,,0.2125,0.37254901960784315,0.7450980392156863,0.8044642857142857,0.49375,0.95,0.8157894736842105,0.5417261904761904,0.8157894736842105,0.6241071428571429,0.34259259259259256,0.8981481481481483,0.8333333333333334,0.8160714285714287,0.5169433896,6.35,0.02518811385,0.01019092375
