"Country","Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN]","Wage and salaried workers, total (% of total employed) [SL.EMP.WORK.ZS]","Lending interest rate (%) [FR.INR.LEND]","Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]","Gross capital formation (current LCU) [NE.GDI.TOTL.CN]","GDP (constant LCU) [NY.GDP.MKTP.KN]","Exogenous spending","Compensation of employees (current LCU) [GC.XPN.COMP.CN]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Capital-labour ratio","Previous Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN]","Previous Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Previous Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]","Previous Compensation of employees (current LCU) [GC.XPN.COMP.CN]","Previous Gross capital formation (current LCU) [NE.GDI.TOTL.CN]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
NZL,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,0.8,1.712299989,13.0,0.159571667,0.227930456
FJI,,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,,1.0,0.8333333333333334,1.0,,1.0,1.0,1.0,1.0,0.549410609,7.0,0.043121146,0.047125656
PNG,0.8571428571428571,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.5,1.0,1.0,1.0,1.0,1.0,0.820306043,14.0,0.119924401,0.04474951
ZAR,1.0,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.42857142857142855,1.0,1.0,0.875,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.757022711,12.0,0.095659102,0.015498239
STP,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,0.392937221,1.0,0.052814385,0.030938911
WLD,,,,,,,,,,0.8,,,,,,,0.290801141,0.0,0.03133275,0.044257638
MHL,,,,0.5,1.0,,0.8,,,,,,0.3333333333333333,1.0,,,0.254294332,3.0,0.031733999,0.033902111
CUB,0.8571428571428571,1.0,,,,0.6,0.6666666666666666,0.4,,,,0.8571428571428571,,,,0.6666666666666666,0.364947262,3.0,0.024435716,0.072372418
SDN,1.0,,,0.75,1.0,1.0,1.0,1.0,,0.875,,0.875,1.0,1.0,,1.0,0.480518911,8.0,0.039318401,0.028415716
GMB,0.8571428571428571,,1.0,,1.0,1.0,1.0,0.3333333333333333,,0.75,,0.8571428571428571,,1.0,,1.0,0.393543655,2.0,0.029760242,0.009891583
CEB,,0.5,,,,,,,,1.0,,,,,,,0.154436365,0.0,0.022662013,0.01134611
CUW,,,,,,,,,,,,,,,,,0.162132478,0.0,0.038101545,0.096062061
MYS,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,1.0,1.0,1.004419438,17.0,0.211834334,0.040462873
MIC,,,,,,,,,,0.8,,,,,,,0.137029344,0.0,0.027580161,0.022481906
POL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.8,1.0,1.0,1.0,1.0,199.563759246,14.0,0.077165747,0.015109529
ARB,,,,,,,,,,1.0,,,,,,,0.118339354,0.0,0.035313322,0.020831315
OMN,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.115760304,12.0,0.082050838,0.039546383
SUR,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.875,0.5,,1.0,1.0,1.0,1.0,0.504983693,7.0,0.03958913,0.032713753
ARE,1.0,1.0,,,,0.5,1.0,,0.5,1.0,0.3333333333333333,0.5,,,0.5,0.5,0.530778754,4.0,0.028620901,0.013992985
KEN,1.0,,0.8571428571428571,1.0,0.5,1.0,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.6666666666666666,1.0,1.0,0.738446141,12.0,0.095610086,0.027242178
ARG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,,1.0,,1.0,1.0,1.0,,1.0,0.574686439,11.0,0.076957713,0.169252366
GNB,1.0,,0.5,1.0,1.0,1.0,0.8,,,0.8,,1.0,1.0,1.0,,1.0,0.496618453,4.0,0.046135073,0.069139059
HPC,,,,,,,,,,0.8333333333333334,,,,,,,0.24117395,0.0,0.028749711,0.012232391
ARM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.018104646,16.0,0.188841747,0.043085239
UZB,,,,,,1.0,1.0,,,,,,,,,1.0,0.193617407,0.0,0.023522646,0.042384764
BTN,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,,1.0,1.0,1.0,0.524709864,9.0,0.037810868,0.010601178
SEN,0.875,0.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,0.8571428571428571,1.0,0.875,1.0,1.0,1.0,1.0,0.649289094,9.0,0.03753672,0.011497148
TGO,0.875,,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.875,1.0,1.0,1.0,1.0,0.564570293,9.0,0.032309655,0.025320287
IRL,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.664727487,18.0,0.075765935,0.047282394
IRN,0.75,0.0,1.0,,,1.0,0.75,0.8571428571428571,1.0,1.0,1.0,0.875,,,1.0,1.0,0.525176658,9.0,0.040005198,0.082616234
QAT,1.0,1.0,1.0,1.0,1.0,0.8,1.0,,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.566919081,15.0,0.04900195,0.033720866
BDI,1.0,1.0,1.0,,1.0,1.0,0.75,1.0,0.3333333333333333,0.7142857142857143,1.0,1.0,,1.0,0.3333333333333333,1.0,0.520490481,7.0,0.026551961,0.010149773
NLD,1.0,1.0,0.75,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.875,0.986640806,25.0,0.213883326,0.028883651
IRQ,,,1.0,0.25,1.0,1.0,0.8571428571428571,,,0.6666666666666666,,,0.0,1.0,,1.0,0.415459595,3.0,0.030030402,0.033024949
