"Country","Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN]","Wage and salaried workers, total (% of total employed) [SL.EMP.WORK.ZS]","Lending interest rate (%) [FR.INR.LEND]","Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]","Gross capital formation (current LCU) [NE.GDI.TOTL.CN]","GDP (constant LCU) [NY.GDP.MKTP.KN]","Exogenous spending","Compensation of employees (current LCU) [GC.XPN.COMP.CN]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Capital-labour ratio","Previous Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN]","Previous Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Previous Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]","Previous Compensation of employees (current LCU) [GC.XPN.COMP.CN]","Previous Gross capital formation (current LCU) [NE.GDI.TOTL.CN]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
NZL,0.6,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.5,0.0,0.16666666666666666,0.381131727,8.0,0.038356886,0.011769587
FJI,,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,,0.0,0.0,0.0,,0.5,0.0,0.0,0.5714285714285714,0.384887736,4.0,0.0230929,0.010352678
PNG,0.3333333333333333,,0.0,0.5,0.0,0.5714285714285714,0.375,0.125,0.0,0.0,0.0,0.2857142857142857,0.25,0.0,0.0,0.42857142857142855,0.475283866,11.0,0.040320383,0.011668706
ZAR,0.3333333333333333,,0.0,0.0,0.5,0.625,0.125,0.25,0.6666666666666666,0.42857142857142855,0.75,0.25,0.0,0.0,0.3333333333333333,0.625,0.415666489,7.0,0.02605325,0.0095365
STP,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.6666666666666666,0.0,,0.260278298,0.0,0.02036851,0.008676437
WLD,,,,,,,,,,0.16666666666666666,,,,,,,0.105713123,0.0,0.020822765,0.008726593
MHL,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.110000901,2.0,0.020456854,0.008751101
CUB,0.14285714285714285,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.283373477,1.0,0.020272188,0.008195965
SDN,0.375,,,0.0,0.0,0.5714285714285714,0.42857142857142855,0.8571428571428571,,0.125,,0.25,0.0,0.0,,0.5714285714285714,0.321793058,5.0,0.021865215,0.00837835
GMB,0.125,,0.0,,0.0,0.3333333333333333,0.2857142857142857,0.0,,0.2857142857142857,,0.0,,0.0,,0.3333333333333333,0.345132748,1.0,0.019973531,0.008601203
