"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
NZL,0.5,0.1111111111111111,0.05555555555555555,0.2783333333333333,0.43839285714285714,0.11619047619047618,,0.17416666666666666,0.17244047619047617,0.18077380952380953,0.6223809523809524,0.0325,0.1951190476190476,0.1825,0.1376190476190476,0.25,1.1228979175,10.95,0.0936833507,0.0322344491
FJI,,,,0.16999999999999998,0.039473684210526314,0.17529761904761904,0.1526785714285714,0.3404761904761905,0.4226190476190476,0.23660714285714285,0.4732142857142857,0.23916666666666667,0.2,0.21416666666666667,0.19464285714285715,0.27416666666666667,0.56742434695,4.45,0.027899080149999998,0.0254235912
PNG,,,,0.10833333333333332,0.05583333333333333,0.3306547619047619,0.15714285714285714,0.13005952380952382,0.3392857142857143,0.19226190476190477,0.19642857142857142,0.4291666666666667,0.22827380952380955,0.11166666666666666,0.16875,0.12,0.6674608525,4.25,0.03879096405,0.020554601149999997
ZAR,,,,0.18666666666666668,0.1125,0.19732142857142856,0.14732142857142855,0.1598809523809524,0.13839285714285715,0.15964285714285714,0.18416666666666665,,0.1699404761904762,0.10583333333333333,0.18273809523809523,0.08333333333333333,0.4728935003,1.3,0.0238068261,0.01113548315
STP,,,,0.4833333333333333,0.29411764705882354,,0.16595238095238093,0.12916666666666665,0.07083333333333333,0.20416666666666666,0.11666666666666665,,0.04583333333333333,0.5083333333333333,0.13596491228070173,0.1375,0.5844239627000001,2.45,0.03935772825,0.01720941645
WLD,,,,0.1525,0.17541666666666667,0.19910714285714287,0.21696428571428572,0.11416666666666667,0.10416666666666666,0.15166666666666667,0.13916666666666666,0.08916666666666666,0.1705357142857143,0.825,0.18303571428571427,0.17416666666666666,0.72668427625,3.95,0.050335589800000004,0.01861293285
MHL,,,,0.19916666666666666,,,0.09385964912280702,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.017543859649122806,,0.10607142857142857,0.42892857142857144,0.10857142857142857,0.11591478696741855,0.4619211386,5.5,0.0315121439,0.013014399300000002
CUB,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.3383333333333333,0.3005952380952381,0.3302380952380952,0.35446428571428573,0.15404761904761904,0.34291666666666665,0.4206547619047619,0.3005952380952381,0.08083333333333334,0.18785714285714286,0.0975,0.1611904761904762,0.11583333333333332,0.7231337653,22.9,0.05661787095,0.015491028300000001
SDN,,,,0.1675,0.15898809523809523,0.18303571428571427,0.15982142857142856,0.1875,0.4791666666666667,0.23839285714285716,0.22053571428571428,0.47750000000000004,0.19910714285714287,0.27166666666666667,0.14017857142857143,0.3525,0.6165681593000001,2.15,0.032318204,0.01557335845
GMB,,,,0.16416666666666666,0.08,0.11142857142857143,0.18035714285714285,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0392156862745098,0.38416666666666666,0.19065476190476188,0.3441666666666666,0.20142857142857143,0.11833333333333333,0.6203327744,4.8,0.03609715335,0.01854128935
