"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
NZL,1.0,0.5,0.5,0.6666666666666666,0.625,0.3333333333333333,,0.3333333333333333,0.4,0.4,1.0,0.25,0.4,0.5,0.3333333333333333,1.0,2.267690003,11.0,0.39075999,0.061187036
FJI,,,,0.4,0.5,0.2857142857142857,0.2857142857142857,0.625,0.8571428571428571,0.5,0.875,0.6666666666666666,0.2857142857142857,0.75,0.2857142857142857,0.75,0.763292794,6.0,0.081303055,0.110440336
PNG,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.375,0.3333333333333333,0.6666666666666666,0.4,0.3333333333333333,1.0,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.972819947,5.0,0.091094896,0.089911668
ZAR,,,,0.5,0.5,0.375,0.25,0.375,0.3333333333333333,0.4,0.375,,0.375,0.5,0.2857142857142857,0.5,0.581170826,3.0,0.038008073,0.025591016
STP,,,,1.0,1.0,,0.3333333333333333,0.5,0.5,1.0,0.5,,0.3333333333333333,1.0,0.5,1.0,0.910560255,4.0,0.089024817,0.053553047
WLD,,,,0.4,0.3333333333333333,0.2857142857142857,0.375,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.2857142857142857,1.0,0.2857142857142857,0.5,1.313438646,4.0,0.143995345,0.034540462
MHL,,,,0.6666666666666666,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.75,0.2857142857142857,0.5,0.665507187,8.0,0.054813789,0.030879635
CUB,0.5,0.5,0.5,1.0,0.5,0.6,0.625,0.3333333333333333,0.7142857142857143,0.8333333333333334,0.6,0.3333333333333333,0.375,0.3333333333333333,0.375,0.5,1.161090029,26.0,0.14612128,0.036739921
SDN,,,,0.5,0.4,0.2857142857142857,0.25,0.375,0.75,0.375,0.375,1.0,0.375,0.75,0.25,1.0,0.767126887,4.0,0.086623023,0.045451696
GMB,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.5,0.5,0.5,0.3333333333333333,1.0,0.375,1.0,0.4,0.3333333333333333,1.203938736,7.0,0.069828135,0.048454223
CEB,1.0,0.5,1.0,1.0,0.8571428571428571,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.4,1.0,0.5,0.3333333333333333,0.618221943,14.0,0.035701461,0.011212171
CUW,,,,,0.5,,,,,,,,,,,,0.122238422,0.0,0.02514588,0.010563561
MYS,0.5,0.3333333333333333,0.5,0.8,1.0,0.625,0.2857142857142857,0.42857142857142855,1.0,1.0,0.875,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.25,0.6666666666666666,1.12844809,26.0,0.271356529,0.049701287
MIC,,,,1.0,1.0,0.875,0.375,0.875,1.0,0.875,1.0,0.25,0.2857142857142857,0.8,0.2857142857142857,1.0,0.548133908,9.0,0.03262883,0.012399388
POL,0.75,0.5,1.0,1.0,0.8,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.3333333333333333,0.5,0.596248437,10.0,0.042108335,0.030270353
ARB,,,,0.5,0.3333333333333333,0.625,0.375,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6666666666666666,0.607364285,10.0,0.044823605,0.037666099
OMN,,,,0.6666666666666666,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.875,0.3333333333333333,0.5,0.4,0.2857142857142857,1.0,0.554252383,8.0,0.040438364,0.011400256
SUR,,,,0.4,0.3333333333333333,0.75,0.2857142857142857,0.3333333333333333,0.625,0.4,0.75,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.500494151,4.0,0.02321145,0.010349258
ARE,,,,0.5,,1.0,0.42857142857142855,1.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.5,0.664795882,13.0,0.193230976,0.040803707
KEN,,,,0.6,0.4,0.375,0.75,0.75,0.625,0.375,0.875,0.5,0.2857142857142857,1.0,0.2857142857142857,0.75,0.536343802,4.0,0.040962154,0.056722002
ARG,1.0,0.5,0.5,1.0,0.5714285714285714,0.5,0.2857142857142857,0.625,0.3333333333333333,0.5,0.75,0.25,0.2857142857142857,,0.2857142857142857,,0.542775753,16.0,0.033340705,0.01056755
GNB,,,,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.4,0.5,0.511705182,3.0,0.023137356,0.010690661
HPC,,,,1.0,,0.375,0.375,0.3333333333333333,0.8,0.5,0.8333333333333334,1.0,0.5,0.6666666666666666,0.2857142857142857,1.0,0.498404124,8.0,0.024821576,0.010390864
ARM,0.5,0.5,0.3333333333333333,0.4,1.0,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,0.3333333333333333,0.25,1.0,0.6666666666666666,1.0,0.617511778,15.0,0.040877231,0.067377895
UZB,,,,0.3333333333333333,0.4,0.5,0.4,0.6,0.4,0.3333333333333333,0.75,1.0,0.5,0.5,0.6666666666666666,0.5,0.637426034,11.0,0.068962942,0.053685277
BTN,,,,0.5,1.0,0.3333333333333333,0.2857142857142857,0.6666666666666666,1.0,0.5,0.4,0.5,0.3333333333333333,1.0,0.4,1.0,0.515494248,5.0,0.02682953,0.009998165
SEN,,,,0.3333333333333333,,0.375,0.2857142857142857,0.3333333333333333,1.0,1.0,0.5,0.5,0.2857142857142857,0.5,0.2857142857142857,1.0,0.474644946,4.0,0.022534913,0.035060832
TGO,,,,0.5,,0.25,0.2857142857142857,0.375,0.375,0.5,0.375,1.0,0.25,0.5,0.5,0.3333333333333333,0.567810492,3.0,0.057277709,0.057006979
IRL,0.75,0.5,0.8333333333333334,1.0,0.75,0.375,,1.0,0.4,0.5,0.6666666666666666,0.3333333333333333,0.6,1.0,0.375,0.5,0.836632998,12.0,0.054723167,0.019300414
IRN,0.0,0.0,0.5,0.75,0.5,0.375,0.25,0.375,0.5,0.875,0.75,0.3333333333333333,0.2857142857142857,0.4,0.625,0.5,0.912604687,21.0,0.116076629,0.066822759
QAT,,,,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,1.0,0.25,0.5,0.25,0.5,0.5,1.0,0.5,0.5,0.63502082,5.0,0.042443469,0.030189419
BDI,,,,1.0,0.5,0.375,0.2857142857142857,0.6666666666666666,0.8333333333333334,0.8,1.0,0.5,0.2857142857142857,0.5,0.25,0.6,0.744273939,8.0,0.097938356,0.036779248
NLD,0.6666666666666666,0.5,1.0,0.75,0.5,0.5714285714285714,,0.6,0.8571428571428571,0.6,0.8333333333333334,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.375,0.5,0.72116964,16.0,0.052383499,0.032511419
IRQ,,,,0.4,0.3333333333333333,0.3333333333333333,0.2857142857142857,,,,,1.0,0.375,1.0,0.375,1.0,0.36766937,1.0,0.022594188,0.010123555
SVK,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,1.0,0.75,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,0.5,0.5,0.3333333333333333,0.5,0.694649597,8.0,0.096541964,0.029305988
SVN,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.8,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0,0.602437017,14.0,0.03469207,0.026378695
GNQ,,,,0.5,,0.5714285714285714,0.3333333333333333,,,,,1.0,1.0,0.5,0.3333333333333333,0.5,0.369423124,2.0,0.023190932,0.049530299
THA,0.0,0.0,0.0,1.0,1.0,0.625,0.375,1.0,1.0,1.0,0.875,1.0,0.2857142857142857,0.5,0.2857142857142857,0.8,0.904397323,30.0,0.262240086,0.070754883
ABW,,,,,,0.3333333333333333,0.4,0.25,0.25,0.3333333333333333,0.25,,0.3333333333333333,,0.3333333333333333,,0.414785338,2.0,0.033951128,0.03082891
ASM,,,,,,,,,,,,,,,,,0.107800871,0.0,0.025440547,0.012133789
SWE,1.0,1.0,1.0,1.0,0.875,0.7142857142857143,,0.8,0.4,0.4,1.0,0.3333333333333333,0.2857142857142857,1.0,0.2857142857142857,0.3333333333333333,0.692206767,14.0,0.034366055,0.057596314
ISL,0.5,1.0,1.0,1.0,0.75,0.7142857142857143,,0.5,0.3333333333333333,0.5,1.0,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.606736194,14.0,0.041037388,0.041836466
LIC,,,,0.6666666666666666,,0.5,0.375,0.5714285714285714,0.5,0.5,0.5,0.3333333333333333,0.5,0.6,0.3333333333333333,1.0,0.516582864,2.0,0.026020193,0.024011098
MKD,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5,0.4,0.3333333333333333,0.8333333333333334,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.642630301,16.0,0.051280634,0.01044843
BEL,1.0,0.3333333333333333,1.0,1.0,0.875,0.875,,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.75,0.2857142857142857,0.3333333333333333,0.627653002,19.0,0.03881513,0.044561994
ISR,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.625,0.625,0.4,,,,,0.5,0.2857142857142857,0.5,0.2857142857142857,0.3333333333333333,0.544127118,9.0,0.038415591,0.098333905
KWT,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5,0.0,0.5,0.5,0.5,0.3333333333333333,0.4,0.4,0.25,0.743550095,6.0,0.031052333,0.016749292
LIE,,,,0.4,0.4,,,,0.3333333333333333,,,,0.3333333333333333,,0.25,,0.259922075,1.0,0.023165284,0.010736257
DZA,,,,0.5,0.3333333333333333,0.75,0.25,0.625,0.375,0.6,0.75,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.5,0.547155864,2.0,0.022603878,0.02978304
BEN,,,,0.5,,0.375,0.2857142857142857,0.2857142857142857,0.875,0.8,0.375,1.0,0.2857142857142857,0.5,0.2857142857142857,1.0,0.518131434,4.0,0.022636935,0.011461812
RUS,1.0,0.5,0.25,0.3333333333333333,1.0,0.4,0.8,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.636015963,11.0,0.039521875,0.012297366
ATG,,,,1.0,0.5,0.4,0.4,0.3333333333333333,0.4,0.4,0.4,,0.4,0.75,0.3333333333333333,0.3333333333333333,0.451663758,2.0,0.032272038,0.009423649
ITA,1.0,1.0,1.0,1.0,1.0,0.875,,1.0,0.6666666666666666,1.0,1.0,0.25,0.2857142857142857,0.5,0.2857142857142857,0.5,0.613885719,17.0,0.06074247,0.013958218
SWZ,,,,1.0,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.375,0.8571428571428571,1.0,0.8571428571428571,1.0,0.3333333333333333,0.5,0.4,1.0,0.517303858,8.0,0.063605928,0.022790822
TZA,,,,0.5,0.6666666666666666,0.4,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.5,0.25,0.4,1.0,0.5,1.0,0.556140647,7.0,0.082738774,0.040199553
PAK,0.5,0.5,0.5,0.6666666666666666,0.8571428571428571,0.375,0.2857142857142857,0.75,0.625,0.375,0.875,1.0,0.2857142857142857,0.4,0.2857142857142857,0.6666666666666666,0.86033005,16.0,0.071255875,0.013112973
