"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
NZL,0.0,0.0,0.0,0.0,0.125,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.549742893,10.0,0.041051067,0.014155992
FJI,,,,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.485062598,3.0,0.022984608,0.010243246
PNG,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.515148855,4.0,0.024566235,0.009859666
ZAR,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.444689209,0.0,0.020974373,0.009060017
STP,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.419306797,1.0,0.021392151,0.009232144
WLD,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.551627737,3.0,0.028972563,0.011652176
MHL,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.296354791,4.0,0.026137033,0.008944886
CUB,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.578212755,16.0,0.028559915,0.009403131
SDN,,,,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486546764,1.0,0.021770602,0.008798978
GMB,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364426892,4.0,0.026062369,0.008908409
CEB,0.0,0.0,0.0,0.0,0.25,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367888234,9.0,0.02604413,0.008731723
CUW,,,,,0.0,,,,,,,,,,,,0.070785661,0.0,0.020002599,0.008277468
MYS,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.375,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.6726778,21.0,0.103545581,0.01341163
MIC,,,,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.389135047,6.0,0.022992588,0.008617731
POL,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5389542,6.0,0.022817041,0.008687266
ARB,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392617476,5.0,0.021045618,0.008700375
OMN,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.375,0.0,0.0,0.0,0.0,0.0,0.456385272,6.0,0.023836692,0.008612602
SUR,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.407374772,2.0,0.020482502,0.008391459
ARE,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318608145,4.0,0.022038481,0.008352702
KEN,,,,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.47176325,3.0,0.021247383,0.008474102
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,,0.0,,0.432221426,12.0,0.030045221,0.008776179
GNB,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441131545,2.0,0.020356541,0.008310525
HPC,,,,0.0,,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.439412558,3.0,0.021214325,0.008232442
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471271948,6.0,0.024429445,0.008563586
UZB,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315809092,0.0,0.019901717,0.008316795
BTN,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453297251,3.0,0.020884891,0.008316225
SEN,,,,0.0,,0.125,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.435062085,1.0,0.020267059,0.00812472
TGO,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431045606,0.0,0.020035656,0.00826493
IRL,0.0,0.0,0.0,0.2,0.14285714285714285,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565066155,7.0,0.023764308,0.008692396
