"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__"
NZL,0.630952380952381,0.755952380952381,0.2976190476190476,0.44976190476190475,0.7744047619047618,0.5316666666666666,,0.6742857142857143,0.48238095238095235,0.7271428571428571,0.6073809523809524,0.24035087719298245,0.44535714285714284,0.46228070175438596,0.540952380952381,0.32719298245614037,1.02217110995
FJI,,,,0.51,0.5740740740740741,0.40446428571428567,0.42321428571428565,0.5916666666666667,0.4976190476190476,0.5547619047619048,0.506547619047619,0.3960714285714286,0.5056547619047619,0.12595238095238095,0.5142857142857143,0.3258333333333333,0.72889200015
PNG,,,,0.6855952380952381,0.6140350877192983,0.6970238095238095,0.5101190476190476,0.49744047619047616,0.5901190476190477,0.42738095238095236,0.67375,0.40166666666666667,0.39821428571428574,0.5521428571428572,0.46696428571428567,0.5358333333333334,0.5629296469
ZAR,,,,0.4691666666666666,0.5508333333333333,0.6133928571428571,0.9229166666666666,0.5764880952380953,0.6438095238095238,0.31047619047619046,0.33666666666666667,,0.7830357142857143,0.8949999999999999,0.69375,0.8058333333333334,0.48504401780000006
STP,,,,0.7825,0.5119047619047619,,0.34398809523809526,0.5694444444444444,0.5509259259259259,0.3888888888888889,0.3888888888888889,,0.625,0.662037037037037,0.6851851851851852,0.3888888888888889,0.4120971411
WLD,,,,0.4,0.5402380952380952,0.5767857142857142,0.5303571428571429,0.8099999999999999,0.7041666666666666,0.375,0.7066666666666667,0.4725,0.48571428571428565,0.5175,0.38571428571428573,0.5441666666666667,1.57765798885
MHL,,,,0.8324561403508772,,,0.6787037037037037,0.4487179487179487,0.0,0.3269230769230769,0.17948717948717946,,0.5489285714285714,0.4305555555555556,0.49083333333333334,0.26203703703703707,0.39661315150000004
CUB,0.39285714285714285,0.07142857142857142,0.0,0.5141666666666667,0.68125,0.7269642857142857,0.4553571428571429,0.6170238095238095,0.7401190476190476,0.7229761904761904,0.6475,0.6166666666666667,0.5077380952380952,0.5558333333333334,0.7373809523809524,0.5549999999999999,2.33211820655
SDN,,,,0.4916666666666667,0.659047619047619,0.37857142857142856,0.5732142857142857,0.5464285714285715,0.7127976190476191,0.34464285714285714,0.2767857142857143,0.6008333333333333,0.6583333333333333,0.5708333333333333,0.5651785714285714,0.5891666666666666,0.52311965875
GMB,,,,0.3025,0.15350877192982457,0.7089285714285715,0.5485119047619047,0.31481481481481477,0.4259259259259259,0.5,0.12962962962962962,0.6799999999999999,0.5598809523809524,0.505,0.529047619047619,0.5375,0.51248379905
