"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__"
NZL,0.0,0.0,0.0,0.0,0.5,0.25,,0.3333333333333333,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.669521385
FJI,,,,0.2,0.0,0.0,0.125,0.2857142857142857,0.125,0.16666666666666666,0.125,0.0,0.25,0.0,0.2857142857142857,0.0,0.502531173
PNG,,,,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.25,0.16666666666666666,0.0,0.4,0.0,0.25,0.0,0.125,0.0,0.494244017
ZAR,,,,0.0,0.0,0.375,0.75,0.4,0.2857142857142857,0.0,0.0,,0.625,0.5,0.375,0.25,0.456489004
STP,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.140401773
WLD,,,,0.0,0.25,0.2857142857142857,0.375,0.5,0.0,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.125,0.0,0.644768204
MHL,,,,0.3333333333333333,,,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.158221441
CUB,0.0,0.0,0.0,0.2,0.42857142857142855,0.2857142857142857,0.125,0.14285714285714285,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.2857142857142857,0.0,0.604650726
SDN,,,,0.0,0.0,0.125,0.125,0.375,0.42857142857142855,0.0,0.0,0.0,0.375,0.25,0.125,0.0,0.472635282
GMB,,,,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.350877333
CEB,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.666100511
CUW,,,,,0.5,,,,,,,,,,,,0.074709807
MYS,0.0,0.0,0.0,0.4,0.4,0.0,0.5714285714285714,0.25,0.375,0.375,0.375,0.0,0.42857142857142855,0.0,0.375,0.0,3.576058323
MIC,,,,0.16666666666666666,0.14285714285714285,0.25,0.5,0.125,0.625,0.25,0.375,0.0,0.25,0.0,0.25,0.0,0.505121623
POL,0.0,0.0,0.0,0.16666666666666666,0.625,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,1.493617635
ARB,,,,0.0,0.5,0.2,0.25,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.42857142857142855,0.0,0.563244576
OMN,,,,0.0,0.0,0.375,0.5714285714285714,0.7142857142857143,0.375,0.5,0.2857142857142857,0.0,0.75,0.0,0.75,0.0,0.548419455
SUR,,,,0.0,0.0,0.0,0.25,0.25,0.125,0.14285714285714285,0.25,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,1.597149537
ARE,,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.653458891
KEN,,,,0.0,0.0,0.125,0.42857142857142855,0.2857142857142857,0.25,0.125,0.125,0.0,0.25,0.0,0.5,0.0,0.485306539
ARG,0.0,0.0,0.0,0.0,0.2,0.125,0.625,0.125,0.16666666666666666,0.125,0.16666666666666666,0.0,0.0,,0.0,,0.459351892
GNB,,,,0.0,0.0,0.125,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.760362082
HPC,,,,0.16666666666666666,,0.25,0.0,0.5,0.0,0.25,0.0,0.16666666666666666,0.25,0.0,0.14285714285714285,0.0,0.459801017
ARM,0.0,0.0,0.0,0.6,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.5,0.0,1.492052536
UZB,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.25,0.3333333333333333,0.5,0.56602824
BTN,,,,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.457110826
SEN,,,,0.25,,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.462850281
TGO,,,,0.0,,0.25,0.2857142857142857,0.125,0.25,0.14285714285714285,0.125,0.0,0.125,0.2,0.375,0.0,1.355857037
IRL,0.0,0.0,0.0,0.0,0.14285714285714285,0.125,,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.0,0.14285714285714285,0.0,0.599292
IRN,0.0,0.0,0.0,0.0,0.625,0.375,0.625,0.2857142857142857,0.25,0.0,0.25,0.0,0.125,0.0,0.2857142857142857,0.0,0.58086191
